expense_id,date,vendor,expense_category,description,amount_aed,vat_aed,payment_method,approval_status,source_channel
EXP-5001,2025-01-06,Internal Payroll,Salaries and wages,Salaries and wages expense,28150,0.0,Cheque,Approved,Google Sheet Import
EXP-5002,2025-01-30,Business Bay Properties,Office rent,Office rent expense,11475,573.75,Cash,Approved,Telegram Form
EXP-5003,2025-01-28,Cloud Software Vendor,Software subscriptions,Software subscriptions expense,3050,152.5,Card,Approved,Accounting Export
EXP-5004,2025-01-24,Etisalat,Telecom and internet,Telecom and internet expense,1050,52.5,Bank Transfer,Approved,Accounting Export
EXP-5005,2025-01-01,Bank Service Fees,Bank charges,Bank charges expense,200,0.0,Cheque,Approved,Manual Entry
EXP-5006,2025-01-24,Office Maintenance Co.,Maintenance,Maintenance expense,725,36.25,Bank Transfer,Approved,Manual Entry
EXP-5007,2025-01-06,Local Accounting Office,Professional fees,Professional fees expense,3675,183.75,Bank Transfer,Approved,Accounting Export
EXP-5008,2025-01-31,Fleet Fuel Card,Transport and fuel,Transport and fuel expense,1925,96.25,Bank Transfer,Approved,Manual Entry
EXP-5009,2025-01-22,Fleet Fuel Card,Transport and fuel,Transport and fuel expense,1875,93.75,Bank Transfer,Approved,Manual Entry
EXP-5010,2025-01-23,UAE Digital Ads,Marketing,Marketing expense,4875,243.75,Card,Approved,Telegram Form
EXP-5011,2025-01-20,UAE Digital Ads,Marketing,Marketing expense,4225,211.25,Bank Transfer,Approved,Manual Entry
EXP-5012,2025-01-14,Fleet Fuel Card,Transport and fuel,Transport and fuel expense,650,32.5,Cash,Approved,Google Sheet Import
EXP-5013,2025-01-21,Local Accounting Office,Professional fees,Professional fees expense,3750,187.5,Bank Transfer,Approved,Google Sheet Import
EXP-5014,2025-01-21,Stationery Market LLC,Office supplies,Office supplies expense,875,43.75,Cash,Approved,Accounting Export
EXP-5015,2025-01-17,Fleet Fuel Card,Transport and fuel,Transport and fuel expense,1250,62.5,Bank Transfer,Approved,Telegram Form
EXP-5016,2025-01-31,Bank Service Fees,Bank charges,Bank charges expense,275,0.0,Cash,Approved,Accounting Export
EXP-5017,2025-01-29,UAE Digital Ads,Marketing,Marketing expense,4300,215.0,Cheque,Approved,Telegram Form
EXP-5018,2025-01-27,UAE Digital Ads,Marketing,Marketing expense,3050,152.5,Bank Transfer,Approved,Accounting Export
EXP-5019,2025-02-05,Internal Payroll,Salaries and wages,Salaries and wages expense,31900,0.0,Cash,Approved,Accounting Export
EXP-5020,2025-02-17,Business Bay Properties,Office rent,Office rent expense,9650,482.5,Bank Transfer,Approved,Manual Entry
EXP-5021,2025-02-28,Cloud Software Vendor,Software subscriptions,Software subscriptions expense,3100,155.0,Bank Transfer,Approved,Accounting Export
EXP-5022,2025-02-05,Etisalat,Telecom and internet,Telecom and internet expense,1800,90.0,Bank Transfer,Approved,Google Sheet Import
EXP-5023,2025-02-21,Local Accounting Office,Professional fees,Professional fees expense,3775,188.75,Bank Transfer,Approved,Telegram Form
EXP-5024,2025-02-04,Local Accounting Office,Professional fees,Professional fees expense,1925,96.25,Bank Transfer,Approved,Telegram Form
EXP-5025,2025-02-27,Stationery Market LLC,Office supplies,Office supplies expense,850,42.5,Card,Approved,Telegram Form
EXP-5026,2025-02-19,Fleet Fuel Card,Transport and fuel,Transport and fuel expense,2200,110.0,Bank Transfer,Approved,Accounting Export
EXP-5027,2025-02-21,Stationery Market LLC,Office supplies,Office supplies expense,425,21.25,Bank Transfer,Approved,Google Sheet Import
EXP-5028,2025-02-21,UAE Digital Ads,Marketing,Marketing expense,4775,238.75,Cash,Approved,Telegram Form
EXP-5029,2025-02-18,Local Accounting Office,Professional fees,Professional fees expense,2325,116.25,Cheque,Approved,Accounting Export
EXP-5030,2025-02-21,Office Maintenance Co.,Maintenance,Maintenance expense,1650,82.5,Cash,Approved,Manual Entry
EXP-5031,2025-02-12,Fleet Fuel Card,Transport and fuel,Transport and fuel expense,1875,93.75,Bank Transfer,Approved,Manual Entry
EXP-5032,2025-03-31,Internal Payroll,Salaries and wages,Salaries and wages expense,29000,0.0,Bank Transfer,Approved,Accounting Export
EXP-5033,2025-03-07,Business Bay Properties,Office rent,Office rent expense,10800,540.0,Bank Transfer,Pending Review,Google Sheet Import
EXP-5034,2025-03-21,Cloud Software Vendor,Software subscriptions,Software subscriptions expense,2550,127.5,Bank Transfer,Approved,Telegram Form
EXP-5035,2025-03-17,Etisalat,Telecom and internet,Telecom and internet expense,1725,86.25,Card,Approved,Telegram Form
