income_id,date,customer_id,customer_name,income_category,description,amount_aed,vat_aed,total_aed,payment_method,collection_status,source_channel
INC-1001,2025-01-24,CUST-002,Al Noor Business Center,Ad hoc reporting,Ad hoc reporting - Al Noor Business Center,2650,132.5,2782.5,Bank Transfer,Collected,Accounting Export
INC-1002,2025-01-03,CUST-012,Mirdif Learning Hub,Monthly service retainer,Monthly service retainer - Mirdif Learning Hub,11100,555.0,11655.0,Bank Transfer,Collected,Manual Entry
INC-1003,2025-01-06,CUST-010,Capital Dental Center,Monthly service retainer,Monthly service retainer - Capital Dental Center,11650,582.5,12232.5,Bank Transfer,Collected,Accounting Export
INC-1004,2025-01-30,CUST-006,Blue Dhow Logistics,Monthly service retainer,Monthly service retainer - Blue Dhow Logistics,13300,665.0,13965.0,Bank Transfer,Pending,Google Sheet Import
INC-1005,2025-01-10,CUST-008,Falcon Legal Advisors,Automation setup fee,Automation setup fee - Falcon Legal Advisors,8150,407.5,8557.5,Bank Transfer,Collected,Accounting Export
INC-1006,2025-01-30,CUST-011,Ras Al Khaimah Warehousing,Dashboard customization,Dashboard customization - Ras Al Khaimah Warehousing,8250,412.5,8662.5,Bank Transfer,Collected,Telegram Form
INC-1007,2025-01-17,CUST-007,Ajman Modern School,Data cleaning support,Data cleaning support - Ajman Modern School,7750,387.5,8137.5,Bank Transfer,Collected,Accounting Export
INC-1008,2025-01-29,CUST-003,Palm View Real Estate,Data cleaning support,Data cleaning support - Palm View Real Estate,4550,227.5,4777.5,Bank Transfer,Pending,Google Sheet Import
INC-1009,2025-01-24,CUST-004,Gulf Star Trading,Monthly service retainer,Monthly service retainer - Gulf Star Trading,10400,520.0,10920.0,Bank Transfer,Collected,Manual Entry
INC-1010,2025-01-07,CUST-001,Desert Pearl Clinics,Automation setup fee,Automation setup fee - Desert Pearl Clinics,10500,525.0,11025.0,Bank Transfer,Collected,Telegram Form
INC-1011,2025-01-30,CUST-009,Oasis Cafe Group,Monthly service retainer,Monthly service retainer - Oasis Cafe Group,16950,847.5,17797.5,Bank Transfer,Collected,Manual Entry
INC-1012,2025-02-03,CUST-012,Mirdif Learning Hub,Monthly service retainer,Monthly service retainer - Mirdif Learning Hub,15950,797.5,16747.5,Bank Transfer,Collected,Accounting Export
INC-1013,2025-02-17,CUST-009,Oasis Cafe Group,Dashboard customization,Dashboard customization - Oasis Cafe Group,10050,502.5,10552.5,Bank Transfer,Collected,Manual Entry
INC-1014,2025-02-13,CUST-006,Blue Dhow Logistics,Ad hoc reporting,Ad hoc reporting - Blue Dhow Logistics,4550,227.5,4777.5,Cheque,Collected,Google Sheet Import
INC-1015,2025-02-25,CUST-005,Marina Fit Studio,Monthly service retainer,Monthly service retainer - Marina Fit Studio,16950,847.5,17797.5,Bank Transfer,Collected,Google Sheet Import
INC-1016,2025-02-25,CUST-002,Al Noor Business Center,Automation setup fee,Automation setup fee - Al Noor Business Center,15750,787.5,16537.5,Cheque,Collected,Google Sheet Import
INC-1017,2025-02-14,CUST-011,Ras Al Khaimah Warehousing,Monthly service retainer,Monthly service retainer - Ras Al Khaimah Warehousing,13400,670.0,14070.0,Bank Transfer,Collected,Google Sheet Import
INC-1018,2025-02-05,CUST-001,Desert Pearl Clinics,Monthly service retainer,Monthly service retainer - Desert Pearl Clinics,18400,920.0,19320.0,Cheque,Collected,Telegram Form
INC-1019,2025-02-10,CUST-010,Capital Dental Center,Dashboard customization,Dashboard customization - Capital Dental Center,11550,577.5,12127.5,Bank Transfer,Pending,Manual Entry
INC-1020,2025-02-11,CUST-003,Palm View Real Estate,Monthly service retainer,Monthly service retainer - Palm View Real Estate,15800,790.0,16590.0,Card,Collected,Google Sheet Import
INC-1021,2025-02-21,CUST-008,Falcon Legal Advisors,Monthly service retainer,Monthly service retainer - Falcon Legal Advisors,20650,1032.5,21682.5,Bank Transfer,Collected,Manual Entry
INC-1022,2025-03-05,CUST-011,Ras Al Khaimah Warehousing,Monthly service retainer,Monthly service retainer - Ras Al Khaimah Warehousing,11450,572.5,12022.5,Card,Collected,Telegram Form
INC-1023,2025-03-25,CUST-006,Blue Dhow Logistics,Monthly service retainer,Monthly service retainer - Blue Dhow Logistics,12950,647.5,13597.5,Bank Transfer,Collected,Telegram Form
INC-1024,2025-03-27,CUST-010,Capital Dental Center,Monthly service retainer,Monthly service retainer - Capital Dental Center,21150,1057.5,22207.5,Bank Transfer,Collected,Google Sheet Import
INC-1025,2025-03-20,CUST-001,Desert Pearl Clinics,Monthly service retainer,Monthly service retainer - Desert Pearl Clinics,9750,487.5,10237.5,Bank Transfer,Collected,Accounting Export
INC-1026,2025-03-31,CUST-005,Marina Fit Studio,Monthly service retainer,Monthly service retainer - Marina Fit Studio,17300,865.0,18165.0,Bank Transfer,Collected,Manual Entry
INC-1027,2025-03-11,CUST-004,Gulf Star Trading,Data cleaning support,Data cleaning support - Gulf Star Trading,4100,205.0,4305.0,Bank Transfer,Collected,Telegram Form
INC-1028,2025-03-05,CUST-007,Ajman Modern School,Automation setup fee,Automation setup fee - Ajman Modern School,16950,847.5,17797.5,Bank Transfer,Collected,Google Sheet Import
INC-1029,2025-03-03,CUST-003,Palm View Real Estate,Monthly service retainer,Monthly service retainer - Palm View Real Estate,22000,1100.0,23100.0,Cheque,Pending,Accounting Export
INC-1030,2025-03-11,CUST-012,Mirdif Learning Hub,Monthly service retainer,Monthly service retainer - Mirdif Learning Hub,15050,752.5,15802.5,Cash,Pending,Telegram Form
INC-1031,2025-03-21,CUST-002,Al Noor Business Center,Monthly service retainer,Monthly service retainer - Al Noor Business Center,13750,687.5,14437.5,Bank Transfer,Collected,Google Sheet Import
INC-1032,2025-03-24,CUST-009,Oasis Cafe Group,Data cleaning support,Data cleaning support - Oasis Cafe Group,6800,340.0,7140.0,Bank Transfer,Collected,Accounting Export
INC-1033,2025-04-02,CUST-002,Al Noor Business Center,Monthly service retainer,Monthly service retainer - Al Noor Business Center,12750,637.5,13387.5,Bank Transfer,Collected,Accounting Export
INC-1034,2025-04-03,CUST-001,Desert Pearl Clinics,Monthly service retainer,Monthly service retainer - Desert Pearl Clinics,21450,1072.5,22522.5,Cash,Collected,Telegram Form
INC-1035,2025-04-25,CUST-005,Marina Fit Studio,Data cleaning support,Data cleaning support - Marina Fit Studio,5100,255.0,5355.0,Bank Transfer,Collected,Google Sheet Import
INC-1036,2025-04-23,CUST-003,Palm View Real Estate,Monthly service retainer,Monthly service retainer - Palm View Real Estate,16400,820.0,17220.0,Bank Transfer,Collected,Google Sheet Import
INC-1037,2025-04-07,CUST-006,Blue Dhow Logistics,Monthly service retainer,Monthly service retainer - Blue Dhow Logistics,12100,605.0,12705.0,Bank Transfer,Collected,Manual Entry
INC-1038,2025-04-21,CUST-004,Gulf Star Trading,Dashboard customization,Dashboard customization - Gulf Star Trading,4100,205.0,4305.0,Bank Transfer,Collected,Telegram Form
INC-1039,2025-04-07,CUST-007,Ajman Modern School,Automation setup fee,Automation setup fee - Ajman Modern School,12300,615.0,12915.0,Cheque,Pending,Accounting Export
INC-1040,2025-04-24,CUST-010,Capital Dental Center,Monthly service retainer,Monthly service retainer - Capital Dental Center,10650,532.5,11182.5,Card,Collected,Accounting Export
INC-1041,2025-04-24,CUST-012,Mirdif Learning Hub,Dashboard customization,Dashboard customization - Mirdif Learning Hub,3550,177.5,3727.5,Bank Transfer,Collected,Accounting Export
INC-1042,2025-04-04,CUST-011,Ras Al Khaimah Warehousing,Monthly service retainer,Monthly service retainer - Ras Al Khaimah Warehousing,10050,502.5,10552.5,Card,Collected,Manual Entry
INC-1043,2025-04-30,CUST-008,Falcon Legal Advisors,Monthly service retainer,Monthly service retainer - Falcon Legal Advisors,13150,657.5,13807.5,Bank Transfer,Collected,Google Sheet Import
INC-1044,2025-05-02,CUST-006,Blue Dhow Logistics,Dashboard customization,Dashboard customization - Blue Dhow Logistics,10550,527.5,11077.5,Bank Transfer,Collected,Google Sheet Import
INC-1045,2025-05-26,CUST-009,Oasis Cafe Group,Monthly service retainer,Monthly service retainer - Oasis Cafe Group,18500,925.0,19425.0,Card,Collected,Telegram Form
INC-1046,2025-05-07,CUST-011,Ras Al Khaimah Warehousing,Training workshop,Training workshop - Ras Al Khaimah Warehousing,5050,252.5,5302.5,Bank Transfer,Collected,Google Sheet Import
INC-1047,2025-05-14,CUST-008,Falcon Legal Advisors,Monthly service retainer,Monthly service retainer - Falcon Legal Advisors,10200,510.0,10710.0,Bank Transfer,Pending,Accounting Export
INC-1048,2025-05-30,CUST-003,Palm View Real Estate,Monthly service retainer,Monthly service retainer - Palm View Real Estate,13350,667.5,14017.5,Bank Transfer,Collected,Google Sheet Import
INC-1049,2025-05-28,CUST-004,Gulf Star Trading,Training workshop,Training workshop - Gulf Star Trading,3700,185.0,3885.0,Card,Pending,Telegram Form
INC-1050,2025-05-08,CUST-005,Marina Fit Studio,Monthly service retainer,Monthly service retainer - Marina Fit Studio,19300,965.0,20265.0,Cash,Collected,Google Sheet Import
INC-1051,2025-06-11,CUST-010,Capital Dental Center,Data cleaning support,Data cleaning support - Capital Dental Center,8100,405.0,8505.0,Bank Transfer,Collected,Telegram Form
