transaction_id,source_id,date,transaction_type,category,description,amount_aed,signed_amount_aed,payment_method,source_channel
TRX-00124,EXP-5005,2025-01-01,Expense,Bank charges,Bank charges expense,200,-200,Cheque,Manual Entry
TRX-00002,INC-1002,2025-01-03,Income,Monthly service retainer,Monthly service retainer - Mirdif Learning Hub,11100,11100,Bank Transfer,Manual Entry
TRX-00120,EXP-5001,2025-01-06,Expense,Salaries and wages,Salaries and wages expense,28150,-28150,Cheque,Google Sheet Import
TRX-00126,EXP-5007,2025-01-06,Expense,Professional fees,Professional fees expense,3675,-3675,Bank Transfer,Accounting Export
TRX-00003,INC-1003,2025-01-06,Income,Monthly service retainer,Monthly service retainer - Capital Dental Center,11650,11650,Bank Transfer,Accounting Export
TRX-00010,INC-1010,2025-01-07,Income,Automation setup fee,Automation setup fee - Desert Pearl Clinics,10500,10500,Bank Transfer,Telegram Form
TRX-00005,INC-1005,2025-01-10,Income,Automation setup fee,Automation setup fee - Falcon Legal Advisors,8150,8150,Bank Transfer,Accounting Export
TRX-00131,EXP-5012,2025-01-14,Expense,Transport and fuel,Transport and fuel expense,650,-650,Cash,Google Sheet Import
TRX-00007,INC-1007,2025-01-17,Income,Data cleaning support,Data cleaning support - Ajman Modern School,7750,7750,Bank Transfer,Accounting Export
TRX-00134,EXP-5015,2025-01-17,Expense,Transport and fuel,Transport and fuel expense,1250,-1250,Bank Transfer,Telegram Form
TRX-00130,EXP-5011,2025-01-20,Expense,Marketing,Marketing expense,4225,-4225,Bank Transfer,Manual Entry
TRX-00133,EXP-5014,2025-01-21,Expense,Office supplies,Office supplies expense,875,-875,Cash,Accounting Export
TRX-00132,EXP-5013,2025-01-21,Expense,Professional fees,Professional fees expense,3750,-3750,Bank Transfer,Google Sheet Import
TRX-00128,EXP-5009,2025-01-22,Expense,Transport and fuel,Transport and fuel expense,1875,-1875,Bank Transfer,Manual Entry
TRX-00129,EXP-5010,2025-01-23,Expense,Marketing,Marketing expense,4875,-4875,Card,Telegram Form
TRX-00125,EXP-5006,2025-01-24,Expense,Maintenance,Maintenance expense,725,-725,Bank Transfer,Manual Entry
TRX-00123,EXP-5004,2025-01-24,Expense,Telecom and internet,Telecom and internet expense,1050,-1050,Bank Transfer,Accounting Export
TRX-00001,INC-1001,2025-01-24,Income,Ad hoc reporting,Ad hoc reporting - Al Noor Business Center,2650,2650,Bank Transfer,Accounting Export
TRX-00009,INC-1009,2025-01-24,Income,Monthly service retainer,Monthly service retainer - Gulf Star Trading,10400,10400,Bank Transfer,Manual Entry
TRX-00137,EXP-5018,2025-01-27,Expense,Marketing,Marketing expense,3050,-3050,Bank Transfer,Accounting Export
TRX-00122,EXP-5003,2025-01-28,Expense,Software subscriptions,Software subscriptions expense,3050,-3050,Card,Accounting Export
TRX-00008,INC-1008,2025-01-29,Income,Data cleaning support,Data cleaning support - Palm View Real Estate,4550,4550,Bank Transfer,Google Sheet Import
TRX-00136,EXP-5017,2025-01-29,Expense,Marketing,Marketing expense,4300,-4300,Cheque,Telegram Form
TRX-00004,INC-1004,2025-01-30,Income,Monthly service retainer,Monthly service retainer - Blue Dhow Logistics,13300,13300,Bank Transfer,Google Sheet Import
TRX-00006,INC-1006,2025-01-30,Income,Dashboard customization,Dashboard customization - Ras Al Khaimah Warehousing,8250,8250,Bank Transfer,Telegram Form
TRX-00011,INC-1011,2025-01-30,Income,Monthly service retainer,Monthly service retainer - Oasis Cafe Group,16950,16950,Bank Transfer,Manual Entry
TRX-00121,EXP-5002,2025-01-30,Expense,Office rent,Office rent expense,11475,-11475,Cash,Telegram Form
TRX-00127,EXP-5008,2025-01-31,Expense,Transport and fuel,Transport and fuel expense,1925,-1925,Bank Transfer,Manual Entry
TRX-00135,EXP-5016,2025-01-31,Expense,Bank charges,Bank charges expense,275,-275,Cash,Accounting Export
TRX-00012,INC-1012,2025-02-03,Income,Monthly service retainer,Monthly service retainer - Mirdif Learning Hub,15950,15950,Bank Transfer,Accounting Export
